CHAVE_ANONIMIZADA,DATA,CNPJ,SUPERMERCADO,QTDE_TOTAL_NOTA,VALOR_TOTAL_NOTA,VALOR_TOTAL_TRIBUTOS,COD_PRODUTO,PRODUTO,UNIDADE,QTDE,VALOR_PRODUTO,VALOR_TOTAL_PRODUTO
802c078fd232a7020edc6188bd3eb95e0dad9b55e711e08526bd663b6af542a0,20/02/2024 18:44:16,76.430.438/0070-01,IRMAOS MUFFATO S A,5,67.53,26.84,278018,SALG ELMA CHIPS 40G,Un,1.0,3.69,3.69
802c078fd232a7020edc6188bd3eb95e0dad9b55e711e08526bd663b6af542a0,20/02/2024 18:44:16,76.430.438/0070-01,IRMAOS MUFFATO S A,5,67.53,26.84,278018,SALG ELMA CHIPS 40G,Un,1.0,3.69,3.69
802c078fd232a7020edc6188bd3eb95e0dad9b55e711e08526bd663b6af542a0,20/02/2024 18:44:16,76.430.438/0070-01,IRMAOS MUFFATO S A,5,67.53,26.84,264832,SALG ELMA CH 45G,Un,1.0,3.69,3.69
802c078fd232a7020edc6188bd3eb95e0dad9b55e711e08526bd663b6af542a0,20/02/2024 18:44:16,76.430.438/0070-01,IRMAOS MUFFATO S A,5,67.53,26.84,300337,AZEITE O LIVE 250ML,Un,1.0,21.9,21.9
802c078fd232a7020edc6188bd3eb95e0dad9b55e711e08526bd663b6af542a0,20/02/2024 18:44:16,76.430.438/0070-01,IRMAOS MUFFATO S A,5,67.53,26.84,12440,CERV SKOL 350ML,Un,12.0,2.88,34.56
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,11445940001,OVO BC GD GOURM C/10,Un,1.0,8.59,8.59
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,61080001,BEB PURITY 1LT MACA,Un,1.0,4.79,4.79
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,64040001,DEL VALLE 1LT MARAC,Un,1.0,6.49,6.49
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,11510530001,CHEETOS 40G LUA PARM,Un,1.0,4.29,4.29
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,10963940001,UVA CRINS BENAS 500G,PC,1.0,6.89,6.89
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,908050001,P HIG NEVE C L12 P11,PC,1.0,22.9,22.9
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,33500001,SALSA COMUM,PC,1.0,1.79,1.79
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,37450001,SALSA/CEBOLINHA,PC,1.0,1.59,1.59
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,78320001,CEBOLA NAC kg,Kg,0.336,3.99,1.34
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,65420001,BEB NESQUIK 200ML MO,Un,1.0,2.69,2.69
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,65420001,BEB NESQUIK 200ML MO,Un,1.0,2.69,2.69
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,65420001,BEB NESQUIK 200ML MO,Un,1.0,2.69,2.69
635e4aa1fc53912c1eb4b0e6ec8aa421d5af435dedf679477bf025e5dcbbabd1,24/07/2023 19:29:26,06.057.223/0367-96,SENDAS DISTRIBUIDORA S/A,29,161.09,14.55,10203980001,TOMATE ITALIANO kg,Kg,0.368,7.99,2.94
